Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
600,1978,Female,Health Care and Social Assistance,Social Assistance Services,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,I知 30% less productive when working remotely,1,8,3,6,0.5,8,5,5,Feeling left out and/or isolated,Preparing for work and commuting
601,1969,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,8,5,4,0,8.5,5,4,Connectivity (internet connection),My work-life balance
602,1986,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),3,7,2,1,0,8,3,3,Poor management,My work-life balance
603,1974,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,0.75,9,3,2,0,12,3,2,Difficulty collaborating remotely,Managing my family responsibilities
604,1977,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Technicians and trades ,"Engineering, ICT and Science Technicians",Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 20% less productive when working remotely,1,8,12,1,0,9,14,1,Feeling left out and/or isolated,Preparing for work and commuting
605,1989,Male,"Transport, Postal and Warehousing",Air and Space Transport,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,I would not have preferred to work remotely ,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,2,0,0,8,3,0,Difficulty collaborating remotely,Preparing for work and commuting
606,1962,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,60%,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 40% more productive when working remotely,2.5,7,4,2,0,8,4,2,Poor management,Preparing for work and commuting
607,1964,Male,Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,60%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,60%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,6,1,1,1,6,1,1,Feeling left out and/or isolated,Managing my family responsibilities
608,1990,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,I would not have preferred to work remotely ,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Strongly agree,Strongly disagree,My productivity is about same when I work remotely,1.5,7,5,2,0,7,7,3,Feeling left out and/or isolated,My work-life balance
609,1976,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,ICT Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,60%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Somewhat agree,I知 40% more productive when working remotely,4,8.5,2,1,0.5,10,3.5,2.5,Difficulty collaborating remotely,My work-life balance
610,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,40%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,2,8,4,2,0,10,4,2,Poor management,Preparing for work and commuting
611,1956,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,20%,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 10% less productive when working remotely,1.5,12,5,5.5,0.5,12.5,5.5,5.5,Feeling left out and/or isolated,The number of hours  I work
612,1976,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,20%,70%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,60%,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,8,6,1,0.5,8.5,6,1,"IT equipment (computer, printer, etc.)",My work-life balance
613,1981,Female,Other Services,Personal and Other Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,20%,30%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,40%,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,2,7,5,2,0,7,5,2,Connectivity (internet connection),My work-life balance
614,1977,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,2.5,8.5,2,2,0,10,3,2,Feeling left out and/or isolated,Managing my family responsibilities
615,1986,Male,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,20%,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,20%,20%,Strongly disagree,Somewhat disagree,Strongly disagree,I知 20% more productive when working remotely,2,9,11,2,0.5,9.5,12,2,Poor management,My work-life balance
616,1976,Male,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,30%,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,50% - About half of my time,20%,Strongly disagree,Strongly disagree,Somewhat disagree,I知 20% more productive when working remotely,0.5,9.5,3.5,3.5,0,8,4,5,Difficulty collaborating remotely,My work-life balance
617,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,60%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,3,8,1,1,1,8,2,2,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
618,1988,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,10%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,30%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 10% more productive when working remotely,1,9,3,2,0.5,8.5,3,3,Poor management,Preparing for work and commuting
619,1980,Male,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Less than 10% of my time,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I知 10% less productive when working remotely,1,9,3,3,0,9,5,2,Difficulty collaborating remotely,Managing my family responsibilities
620,1990,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,30%,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.5,8,6,0.5,0,8,7.5,0.5,Difficulty collaborating remotely,Preparing for work and commuting
621,1978,Male,Education and Training,Tertiary Education,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Strongly agree,Somewhat agree,I知 50% more productive when working remotely (or more),1,8,2,2,0,8,12,1,Caring responsibilities,My work-life balance
622,1961,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,30%,80%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,70%,20%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I知 30% more productive when working remotely,0,8,3,2,1,9,10,4,Feeling left out and/or isolated,My work-life balance
623,1964,Male,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Professionals,ICT Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Regional,70%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,80%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,2,7.5,5,1.5,1,7.5,6,1.5,Feeling left out and/or isolated,My work-life balance
624,1957,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Less than 10% of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,80%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,4,7.5,2,1,0,10,1,1,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
625,1992,Female,Other Services,Personal and Other Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,More than 5 years,Regional,Rarely or never ,NA,NA,NA,NA,NA,NA,20%,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,30%,30%,Somewhat disagree,Somewhat disagree,Strongly disagree,I知 50% more productive when working remotely (or more),2,7,0,0,0.5,7,0,0,Difficulty collaborating remotely,Preparing for work and commuting
626,1976,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,30%,60%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,90%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 10% less productive when working remotely,4,7,11,2,1,10,10,3,"IT equipment (computer, printer, etc.)",My work-life balance
627,1976,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,90%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Strongly agree,Strongly agree,Strongly agree,I知 30% more productive when working remotely,2,8,2,2,2,8,2,2,Connectivity (internet connection),Managing my family responsibilities
628,1978,Female,Education and Training,Tertiary Education,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,20%,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 30% more productive when working remotely,1,8,8,4,0.5,8,7,5,Connectivity (internet connection),My work-life balance
629,1975,Male,"Transport, Postal and Warehousing",Road Transport,Professionals,Education Professionals,More than 200,No,Single person,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,100% - All of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Neither agree nor disagree,I知 50% more productive when working remotely (or more),3,8,13,0,0,8,16,0,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
630,1971,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,30%,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,I知 40% more productive when working remotely,1,7,1,2,0,8,2,2,Poor management,My work-life balance
631,1969,Female,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,40%,10%,Strongly agree,Neither agree nor disagree,Strongly agree,I知 20% less productive when working remotely,0.5,9,3,1,0,11,4,1,Difficulty collaborating remotely,Preparing for work and commuting
632,1989,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,2,8,9,5,0,8,9,5,Poor management,My on-the-job learning opportunities
633,1978,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,30%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,80%,Strongly agree,Strongly agree,Strongly agree,I知 20% more productive when working remotely,1.5,9,12.5,1,0,9,14,1,Poor management,My working relationships
634,1983,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Single person,Between 1 and 5 years,Regional,20%,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,20%,90%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,50% - About half of my time,Somewhat agree,Strongly agree,Somewhat agree,I知 40% more productive when working remotely,0.25,7,0.25,0,0.25,6,1,0.25,"IT equipment (computer, printer, etc.)",My work-life balance
635,1957,Male,Manufacturing,Primary Metal and Metal Product Manufacturing,Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Less than 10% of my time,40%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Less than 10% of my time,I would prefer not to work remotely ,Somewhat disagree,Somewhat disagree,Somewhat disagree,I知 20% less productive when working remotely,3,8,0,0,0,7,0,0,Caring responsibilities,My working relationships
636,1989,Male,Education and Training,Preschool and School Education,Community and personal service ,Sports and Personal Service ,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,70%,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% more productive when working remotely,3,8,2,2,0.5,9,3,2,Caring responsibilities,My work-life balance
637,1958,Female,Education and Training,Preschool and School Education,Clerical and administrative ,Clerical and Office Support ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,30%,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 20% more productive when working remotely,1,7,4,2,0.5,7,4,2.5,Difficulty collaborating remotely,Preparing for work and commuting
638,1988,Female,Administrative and Support Services,Administrative Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,10%,10%,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,0.5,8,0,0,0,8,0,0.5,Difficulty collaborating remotely,Managing my family responsibilities
639,1957,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Sales ,Sales Representatives and Agents,More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1,8,0,0,0.5,8,0,0,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
640,1961,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Regional,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,20%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.5,8,3,1,0,8,3,1,Difficulty collaborating remotely,My work-life balance
641,1972,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,90%,60%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,My productivity is about same when I work remotely,2,7,4,3,0.5,7.5,5,3,Feeling left out and/or isolated,My working relationships
642,1956,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I知 10% more productive when working remotely,1,8,3,2,0.5,8,3,2,Connectivity (internet connection),My work-life balance
643,1967,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,30%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,My productivity is about same when I work remotely,0.3,12,1,0.5,0,9,2,1,Poor management,My work-life balance
644,1970,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Technicians and trades ,"Engineering, ICT and Science Technicians",Between 5 and 19,Yes,Single person,Between 6 and 12 months,Regional,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,I would not have preferred to work remotely ,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I知 50% less productive when working remotely (or less),0.25,7,5,1,0,7,5,2,Connectivity (internet connection),The number of hours  I work
645,1979,Male,Accommodation and Food Services,Food and Beverage Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,70%,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,80%,80%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 50% more productive when working remotely (or more),1,7,1,0,0,9,1,1,Connectivity (internet connection),The number of hours  I work
